age,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
TOTAL,PC_EMP,AT	4.2 	4.1 	4.1 	4.0 	4.0 	4.2 	4.0 	3.8 
TOTAL,PC_EMP,BE	4.3 b	4.3 b	3.9 	4.0 	4.0 	3.8 	4.0 b	3.8 
TOTAL,PC_EMP,BG	2.7 	2.7 	2.8 	2.8 	2.6 	2.7 	2.6 	2.5 
TOTAL,PC_EMP,CH	4.8 	4.7 	4.8 	4.9 	4.7 	4.8 	4.9 	4.8 
TOTAL,PC_EMP,CY	3.5 	3.5 	3.5 	3.4 b	3.1 	3.3 	3.0 	2.9 
TOTAL,PC_EMP,CZ	3.7 	3.9 	4.1 	3.7 	3.8 	3.9 	3.8 	3.6 
TOTAL,PC_EMP,DE	4.0 	4.0 	4.0 	4.1 	4.1 	4.2 	4.3 b	4.1 
TOTAL,PC_EMP,DK	4.2 	4.3 b	4.4 b	4.6 	4.6 	4.7 	4.7 	4.6 
TOTAL,PC_EMP,EE	5.6 	5.5 	5.3 	5.3 	4.6 	5.6 	5.8 	5.1 
TOTAL,PC_EMP,EL	3.3 	3.2 	3.2 	2.9 	3.2 	3.5 	3.5 	3.1 
TOTAL,PC_EMP,ES	3.5 	3.6 	3.5 	3.4 	3.4 	3.2 	3.1 	3.1 
TOTAL,PC_EMP,EU28	3.8 	3.8 	3.7 	3.7 	3.7 	3.8 	3.8 	3.6 
TOTAL,PC_EMP,FI	4.9 	4.7 	4.8 	5.1 	4.8 	4.8 	5.0 	5.2 
TOTAL,PC_EMP,FR	3.6 	3.5 	3.3 	3.2 	3.4 b	3.5 b	3.3 	3.4 
TOTAL,PC_EMP,HR	3.3 	3.5 	3.1 	3.4 	3.8 	3.4 	3.7 	3.6 
TOTAL,PC_EMP,HU	3.4 	3.3 	3.6 	3.7 	3.7 	3.9 	3.7 	3.7 
TOTAL,PC_EMP,IE	3.4 	3.5 b	3.8 	3.7 	3.8 	3.7 	3.5 	3.6 
TOTAL,PC_EMP,IS	5.5 	5.8 	6.2 	6.0 	5.7 	5.8 	5.4 	5.4 
TOTAL,PC_EMP,IT	3.6 	3.6 b	3.4 	3.5 	3.5 	3.5 	3.6 	3.5 
TOTAL,PC_EMP,LT	4.0 	3.7 	3.6 	4.0 	4.0 	3.8 	3.7 	3.6 
TOTAL,PC_EMP,LU	5.3 	4.6 	5.1 	5.0 b	6.0 	5.2 	5.3 	5.2 
TOTAL,PC_EMP,LV	3.5 	4.0 	4.5 	4.0 	3.9 	3.9 	3.6 	3.4 
TOTAL,PC_EMP,ME	4.0 	3.6 	3.3 	3.3 	4.1 	4.6 	3.6 	4.1 
TOTAL,PC_EMP,MK	3.1 	3.2 	3.2 	3.0 	3.2 	3.4 	4.0 	3.9 
TOTAL,PC_EMP,MT	5.2 	4.8 	4.3 	4.5 	4.5 	4.2 	4.1 	3.9 
TOTAL,PC_EMP,NL	4.6 	4.5 	4.5 	4.6 	4.6 	4.7 b	4.5 	4.4 
TOTAL,PC_EMP,NO	3.8 	3.9 	3.9 	3.9 	4.0 	4.4 	4.6 	4.5 
TOTAL,PC_EMP,PL	3.6 	3.5 	3.4 	3.3 	3.2 	3.2 	3.2 	3.2 
TOTAL,PC_EMP,PT	3.2 	3.1 	3.0 	3.1 	3.0 	2.9 	2.8 	2.8 
TOTAL,PC_EMP,RO	1.6 	1.6 	1.6 	1.5 	1.5 	1.4 	1.5 	1.4 
TOTAL,PC_EMP,RS	3.0 	3.1 	3.1 	3.2 b	3.6 b	3.6 	1.9 	2.1 
TOTAL,PC_EMP,SE	4.6 	4.8 	5.0 	4.7 	4.7 	4.8 	4.8 	4.7 
