sex,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
F,PC_EMP,AT	3.9 	3.9 	4.1 	3.7 	3.7 	4.1 	4.2 	3.6 
F,PC_EMP,BE	4.2 b	4.2 b	3.7 	3.7 	3.9 	3.5 	3.9 b	3.3 
F,PC_EMP,BG	3.3 	3.2 	3.3 	3.1 	3.1 	3.1 	2.9 	2.9 
F,PC_EMP,CH	5.1 	5.0 	5.0 	4.8 	4.4 	4.6 	4.6 	4.5 
F,PC_EMP,CY	3.5 	3.5 	3.4 	3.1 b	2.9 	3.1 	3.0 	3.1 
F,PC_EMP,CZ	4.2 	4.4 	4.5 	4.1 	4.3 	4.3 	4.4 	4.3 
F,PC_EMP,DE	4.0 	4.1 	4.1 	4.1 	4.2 	4.2 	4.3 b	4.0 
F,PC_EMP,DK	4.4 	4.6 b	4.7 b	5.0 	4.9 	4.9 	5.1 	4.9 
F,PC_EMP,EE	6.8 	7.1 	6.7 	6.5 	5.7 	6.5 	7.5 	6.6 
F,PC_EMP,EL	3.6 	3.3 	3.4 	3.0 	3.2 	3.5 	3.6 	3.3 
F,PC_EMP,ES	3.2 	3.3 	3.2 	3.1 	3.0 	2.9 	2.8 	2.7 
F,PC_EMP,EU28	3.8 	3.8 	3.8 	3.7 	3.7 	3.7 	3.7 	3.5 
F,PC_EMP,FI	5.4 	4.9 	5.0 	5.3 	5.3 	5.3 	5.4 	5.4 
F,PC_EMP,FR	3.6 	3.4 	3.1 	3.0 	3.1 b	3.2 b	3.2 	3.1 
F,PC_EMP,HR	3.5 	3.5 	3.2 	3.9 	4.3 	3.3 	3.9 	3.7 
F,PC_EMP,HU	3.7 	3.7 	4.0 	4.0 	3.9 	4.1 	3.9 	3.6 
F,PC_EMP,IE	3.4 	3.6 b	4.0 	3.8 	3.9 	3.9 	3.4 	3.7 
F,PC_EMP,IS	6.2 	6.2 	6.1 	5.9 	6.2 	5.7 	5.8 	5.3 
F,PC_EMP,IT	3.6 	3.7 b	3.5 	3.5 	3.5 	3.5 	3.7 	3.6 
F,PC_EMP,LT	4.9 	4.4 	4.7 	5.3 	4.9 	4.7 	4.8 	4.6 
F,PC_EMP,LU	6.3 	5.2 	6.3 	6.0 b	6.9 	5.8 	6.0 	5.5 
F,PC_EMP,LV	4.7 	5.1 	5.7 	5.4 	5.2 	5.1 	4.6 	4.4 
F,PC_EMP,ME	4.6 	4.2 	3.3 	3.5 	4.6 	5.3 	3.8 	4.9 
F,PC_EMP,MK	3.9 	4.1 	4.3 	3.7 	3.7 	4.2 	4.7 	4.4 
F,PC_EMP,MT	5.9 	4.8 	3.6 	4.0 	3.9 	3.8 	3.7 	3.2 
F,PC_EMP,NL	4.4 	4.4 	4.2 	4.2 	4.2 	4.3 b	4.1 	4.2 
F,PC_EMP,NO	3.8 	4.0 	4.0 	4.1 	4.1 	4.4 	4.5 	4.6 
F,PC_EMP,PL	4.2 	4.1 	3.9 	3.9 	3.8 	3.5 	3.5 	3.5 
F,PC_EMP,PT	2.9 	2.8 	2.9 	3.0 	2.9 	2.7 	2.6 	2.7 
F,PC_EMP,RO	1.8 	1.9 	1.8 	1.8 	1.7 	1.6 	1.8 	1.5 
F,PC_EMP,RS	3.2 	3.5 	3.2 	3.2 b	3.9 b	3.8 	2.1 	2.0 
F,PC_EMP,SE	4.8 	5.2 	5.4 	5.2 	5.0 	4.8 	4.7 	4.8 
F,PC_EMP,SI	4.7 	5.0 	4.9 	4.9 	4.9 	5.2 	5.0 	4.8 
F,PC_EMP,SK	3.0 	3.1 	2.8 	2.7 	2.9 	2.4 	3.1 	3.1 
F,PC_EMP,TR	3.6 	3.5 	3.3 	3.4 	3.4 b	3.5 	2.9 	3.4 
F,PC_EMP,UK	4.0 	4.2 	4.2 	4.1 	3.9 	4.0 	3.8 	3.8 
F,THS_PER,AT	79 	77.8 	81.5 	72.2 	71.2 	79.9 	79.5 	67.2 
F,THS_PER,BE	92.6 b	89.4 b	79.5 	79.2 	81.9 	72.5 	80 b	68.4 
F,THS_PER,BG	48.2 	46.9 	45.9 	44.2 	43.1 	43.5 	40.1 	40.3 
F,THS_PER,CH	110.9 	107.2 	107.7 	102.1 	91.1 	92.7 	91.1 	89.2 
F,THS_PER,CY	6.7 	6.4 	5.9 	5.4 b	5.2 	5.4 	5.4 	5.8 
F,THS_PER,CZ	98 	100.5 	102.2 	90.8 	93.4 	92.9 	92.1 	89.2 
F,THS_PER,DE	784.7 	787 	784.7 	777.8 	775.4 	769.3 	784 b	711.8 
F,THS_PER,DK	60 	61.1 b	62.4 b	63.9 	62.7 	63.2 	65.6 	63.4 
F,THS_PER,EE	22 	22.7 	21.2 	20.2 	17.4 	20.1 	23.1 	20 
F,THS_PER,EL	56.5 	52.5 	52 	45.7 	47.5 	50.9 	54.5 	55.4 
F,THS_PER,ES	278.3 	285.2 	269.4 	249.1 	237.8 	225.7 	228 	224.3 
F,THS_PER,EU28	4031.4 	4017.3 	3879.3 	3778.8 	3702.7 	3641.8 	3654.4 	3488.2 
F,THS_PER,FI	66.4 	58.9 	58.7 	63.2 	63 	63.1 	65.5 	64.2 
F,THS_PER,FR	466.9 	435.1 	399.3 	377.2 	388.6 b	397.3 b	387.9 	376 
F,THS_PER,HR	26.5 	25.9 	23.7 	28.6 	30.8 	23.4 	27.8 	26.9 
F,THS_PER,HU	75.7 	74.7 	79.8 	77.8 	72.6 	73.1 	69.9 	63.3 
F,THS_PER,IE	35 	36.5 b	39.3 	35.8 	35.2 	35 	29.7 	32.3 
F,THS_PER,IS	5.7 	5.6 	5.5 	5.2 	5.3 	4.7 	4.6 	4.2 
F,THS_PER,IT	354.8 	362 b	331 	331.7 	326.8 	323.6 	342.4 	330.1 
F,THS_PER,LT	33.9 	30.8 	32.7 	36.3 	33 	30.7 	31.5 	29.8 
F,THS_PER,LU	8.2 	6.6 	7.4 	7 b	7.5 	6.1 	6.2 	5.4 
F,THS_PER,LV	21.9 	23.2 	26.1 	24.5 	23.1 	22.9 	20.4 	19.7 
F,THS_PER,ME	4.8 	4.3 	3.3 	3.6 	4.5 	4.8 	3.4 	4.2 
F,THS_PER,MK	11.6 	12 	12.2 	10.4 	10.1 	11.4 	12.2 	11.3 
F,THS_PER,MT	5.6 	4.2 	3 	3.1 	2.9 	2.7 	2.4 	1.9 
F,THS_PER,NL	182 	174 	164.6 	161.7 	159.5 	164.6 b	159.3 	158.5 
F,THS_PER,NO	48.1 	50.4 	50.6 	51.6 	51.2 	54.3 	55.4 	55 
F,THS_PER,PL	308.4 	302.1 	285.5 	281 	266.6 	243.9 	244.7 	240.6 
F,THS_PER,PT	68.7 	63.9 	64.9 	66.2 	63.9 	56.8 	57 	61.4 
F,THS_PER,RO	68.5 	72.7 	66.5 	65.6 	65.4 	59.3 	70.2 	57.6 
F,THS_PER,RS	39.4 	43.5 	38.4 	35.4 b	43.4 b	37.3 	19.3 	19.1 
F,THS_PER,SE	117.5 	123.6 	126.2 	119.1 	112.9 	106.6 	103.3 	105 
F,THS_PER,SI	21.2 	22.1 	20.7 	20.2 	20.4 	21.2 	21 	20.6 
F,THS_PER,SK	34.7 	35.7 	31.3 	29.4 	30.1 	25.2 	32.1 	31.5 
F,THS_PER,TR	322.9 	303.3 	276.1 	271.1 	262.7 b	264.2 	212.6 	236.9 
F,THS_PER,UK	609.4 	636 	613.7 	601.8 	564.8 	563 	530.7 	517.6 
M,PC_EMP,AT	4.4 	4.3 	4.0 	4.2 	4.3 	4.3 	3.9 	4.1 
M,PC_EMP,BE	4.4 b	4.3 b	4.1 	4.2 	4.2 	4.0 	4.2 b	4.1 
M,PC_EMP,BG	2.1 	2.3 	2.4 	2.5 	2.2 	2.2 	2.4 	2.2 
M,PC_EMP,CH	4.5 	4.5 	4.6 	5.0 	5.0 	5.0 	5.2 	5.1 
M,PC_EMP,CY	3.4 	3.5 	3.5 	3.7 b	3.2 	3.4 	3.0 	2.7 
M,PC_EMP,CZ	3.4 	3.6 	3.8 	3.4 	3.5 	3.5 	3.3 	3.2 
M,PC_EMP,DE	3.9 	3.9 	4.0 	4.0 	4.1 	4.2 	4.3 b	4.1 
M,PC_EMP,DK	3.9 	4.1 b	4.2 b	4.3 	4.2 	4.4 	4.3 	4.2 
M,PC_EMP,EE	4.4 	3.9 	3.9 	4.1 	3.6 	4.7 	4.0 	3.5 
